,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,mpg01
199,20.0,6,225.0,100,3651,17.7,76,1,dodge aspen se,False
200,18.0,6,250.0,78,3574,21.0,76,1,ford granada ghia,False
201,18.5,6,250.0,110,3645,16.2,76,1,pontiac ventura sj,False
202,17.5,6,258.0,95,3193,17.8,76,1,amc pacer d/l,False
203,29.5,4,97.0,71,1825,12.2,76,2,volkswagen rabbit,True
204,32.0,4,85.0,70,1990,17.0,76,3,datsun b-210,True
205,28.0,4,97.0,75,2155,16.4,76,3,toyota corolla,True
206,26.5,4,140.0,72,2565,13.6,76,1,ford pinto,True
207,20.0,4,130.0,102,3150,15.7,76,2,volvo 245,False
208,13.0,8,318.0,150,3940,13.2,76,1,plymouth volare premier v8,False
209,19.0,4,120.0,88,3270,21.9,76,2,peugeot 504,False
210,19.0,6,156.0,108,2930,15.5,76,3,toyota mark ii,False
211,16.5,6,168.0,120,3820,16.7,76,2,mercedes-benz 280s,False
212,16.5,8,350.0,180,4380,12.1,76,1,cadillac seville,False
213,13.0,8,350.0,145,4055,12.0,76,1,chevy c10,False
214,13.0,8,302.0,130,3870,15.0,76,1,ford f108,False
215,13.0,8,318.0,150,3755,14.0,76,1,dodge d100,False
216,31.5,4,98.0,68,2045,18.5,77,3,honda accord cvcc,True
217,30.0,4,111.0,80,2155,14.8,77,1,buick opel isuzu deluxe,True
218,36.0,4,79.0,58,1825,18.6,77,2,renault 5 gtl,True
219,25.5,4,122.0,96,2300,15.5,77,1,plymouth arrow gs,True
220,33.5,4,85.0,70,1945,16.8,77,3,datsun f-10 hatchback,True
221,17.5,8,305.0,145,3880,12.5,77,1,chevrolet caprice classic,False
222,17.0,8,260.0,110,4060,19.0,77,1,oldsmobile cutlass supreme,False
223,15.5,8,318.0,145,4140,13.7,77,1,dodge monaco brougham,False
224,15.0,8,302.0,130,4295,14.9,77,1,mercury cougar brougham,False
225,17.5,6,250.0,110,3520,16.4,77,1,chevrolet concours,False
226,20.5,6,231.0,105,3425,16.9,77,1,buick skylark,False
227,19.0,6,225.0,100,3630,17.7,77,1,plymouth volare custom,False
228,18.5,6,250.0,98,3525,19.0,77,1,ford granada,False
229,16.0,8,400.0,180,4220,11.1,77,1,pontiac grand prix lj,False
230,15.5,8,350.0,170,4165,11.4,77,1,chevrolet monte carlo landau,False
231,15.5,8,400.0,190,4325,12.2,77,1,chrysler cordoba,False
232,16.0,8,351.0,149,4335,14.5,77,1,ford thunderbird,False
233,29.0,4,97.0,78,1940,14.5,77,2,volkswagen rabbit custom,True
234,24.5,4,151.0,88,2740,16.0,77,1,pontiac sunbird coupe,True
235,26.0,4,97.0,75,2265,18.2,77,3,toyota corolla liftback,True
236,25.5,4,140.0,89,2755,15.8,77,1,ford mustang ii 2+2,True
237,30.5,4,98.0,63,2051,17.0,77,1,chevrolet chevette,True
238,33.5,4,98.0,83,2075,15.9,77,1,dodge colt m/m,True
239,30.0,4,97.0,67,1985,16.4,77,3,subaru dl,True
240,30.5,4,97.0,78,2190,14.1,77,2,volkswagen dasher,True
241,22.0,6,146.0,97,2815,14.5,77,3,datsun 810,False
242,21.5,4,121.0,110,2600,12.8,77,2,bmw 320i,False
243,21.5,3,80.0,110,2720,13.5,77,3,mazda rx-4,False
244,43.1,4,90.0,48,1985,21.5,78,2,volkswagen rabbit custom diesel,True
245,36.1,4,98.0,66,1800,14.4,78,1,ford fiesta,True
246,32.8,4,78.0,52,1985,19.4,78,3,mazda glc deluxe,True
247,39.4,4,85.0,70,2070,18.6,78,3,datsun b210 gx,True
248,36.1,4,91.0,60,1800,16.4,78,3,honda civic cvcc,True
249,19.9,8,260.0,110,3365,15.5,78,1,oldsmobile cutlass salon brougham,False
250,19.4,8,318.0,140,3735,13.2,78,1,dodge diplomat,False
251,20.2,8,302.0,139,3570,12.8,78,1,mercury monarch ghia,False
252,19.2,6,231.0,105,3535,19.2,78,1,pontiac phoenix lj,False
253,20.5,6,200.0,95,3155,18.2,78,1,chevrolet malibu,False
254,20.2,6,200.0,85,2965,15.8,78,1,ford fairmont (auto),False
255,25.1,4,140.0,88,2720,15.4,78,1,ford fairmont (man),True
256,20.5,6,225.0,100,3430,17.2,78,1,plymouth volare,False
257,19.4,6,232.0,90,3210,17.2,78,1,amc concord,False
258,20.6,6,231.0,105,3380,15.8,78,1,buick century special,False
259,20.8,6,200.0,85,3070,16.7,78,1,mercury zephyr,False
260,18.6,6,225.0,110,3620,18.7,78,1,dodge aspen,False
261,18.1,6,258.0,120,3410,15.1,78,1,amc concord d/l,False
262,19.2,8,305.0,145,3425,13.2,78,1,chevrolet monte carlo landau,False
263,17.7,6,231.0,165,3445,13.4,78,1,buick regal sport coupe (turbo),False
264,18.1,8,302.0,139,3205,11.2,78,1,ford futura,False
265,17.5,8,318.0,140,4080,13.7,78,1,dodge magnum xe,False
266,30.0,4,98.0,68,2155,16.5,78,1,chevrolet chevette,True
267,27.5,4,134.0,95,2560,14.2,78,3,toyota corona,True
268,27.2,4,119.0,97,2300,14.7,78,3,datsun 510,True
269,30.9,4,105.0,75,2230,14.5,78,1,dodge omni,True
270,21.1,4,134.0,95,2515,14.8,78,3,toyota celica gt liftback,False
271,23.2,4,156.0,105,2745,16.7,78,1,plymouth sapporo,True
272,23.8,4,151.0,85,2855,17.6,78,1,oldsmobile starfire sx,True
273,23.9,4,119.0,97,2405,14.9,78,3,datsun 200-sx,True
274,20.3,5,131.0,103,2830,15.9,78,2,audi 5000,False
275,17.0,6,163.0,125,3140,13.6,78,2,volvo 264gl,False
276,21.6,4,121.0,115,2795,15.7,78,2,saab 99gle,False
277,16.2,6,163.0,133,3410,15.8,78,2,peugeot 604sl,False
278,31.5,4,89.0,71,1990,14.9,78,2,volkswagen scirocco,True
279,29.5,4,98.0,68,2135,16.6,78,3,honda accord lx,True
280,21.5,6,231.0,115,3245,15.4,79,1,pontiac lemans v6,False
281,19.8,6,200.0,85,2990,18.2,79,1,mercury zephyr 6,False
282,22.3,4,140.0,88,2890,17.3,79,1,ford fairmont 4,False
283,20.2,6,232.0,90,3265,18.2,79,1,amc concord dl 6,False
284,20.6,6,225.0,110,3360,16.6,79,1,dodge aspen 6,False
285,17.0,8,305.0,130,3840,15.4,79,1,chevrolet caprice classic,False
286,17.6,8,302.0,129,3725,13.4,79,1,ford ltd landau,False
287,16.5,8,351.0,138,3955,13.2,79,1,mercury grand marquis,False
288,18.2,8,318.0,135,3830,15.2,79,1,dodge st. regis,False
289,16.9,8,350.0,155,4360,14.9,79,1,buick estate wagon (sw),False
290,15.5,8,351.0,142,4054,14.3,79,1,ford country squire (sw),False
291,19.2,8,267.0,125,3605,15.0,79,1,chevrolet malibu classic (sw),False
292,18.5,8,360.0,150,3940,13.0,79,1,chrysler lebaron town @ country (sw),False
293,31.9,4,89.0,71,1925,14.0,79,2,vw rabbit custom,True
294,34.1,4,86.0,65,1975,15.2,79,3,maxda glc deluxe,True
295,35.7,4,98.0,80,1915,14.4,79,1,dodge colt hatchback custom,True
296,27.4,4,121.0,80,2670,15.0,79,1,amc spirit dl,True
297,25.4,5,183.0,77,3530,20.1,79,2,mercedes benz 300d,True
298,23.0,8,350.0,125,3900,17.4,79,1,cadillac eldorado,False
299,27.2,4,141.0,71,3190,24.8,79,2,peugeot 504,True
300,23.9,8,260.0,90,3420,22.2,79,1,oldsmobile cutlass salon brougham,True
301,34.2,4,105.0,70,2200,13.2,79,1,plymouth horizon,True
302,34.5,4,105.0,70,2150,14.9,79,1,plymouth horizon tc3,True
303,31.8,4,85.0,65,2020,19.2,79,3,datsun 210,True
304,37.3,4,91.0,69,2130,14.7,79,2,fiat strada custom,True
305,28.4,4,151.0,90,2670,16.0,79,1,buick skylark limited,True
306,28.8,6,173.0,115,2595,11.3,79,1,chevrolet citation,True
307,26.8,6,173.0,115,2700,12.9,79,1,oldsmobile omega brougham,True
308,33.5,4,151.0,90,2556,13.2,79,1,pontiac phoenix,True
309,41.5,4,98.0,76,2144,14.7,80,2,vw rabbit,True
310,38.1,4,89.0,60,1968,18.8,80,3,toyota corolla tercel,True
311,32.1,4,98.0,70,2120,15.5,80,1,chevrolet chevette,True
312,37.2,4,86.0,65,2019,16.4,80,3,datsun 310,True
313,28.0,4,151.0,90,2678,16.5,80,1,chevrolet citation,True
314,26.4,4,140.0,88,2870,18.1,80,1,ford fairmont,True
315,24.3,4,151.0,90,3003,20.1,80,1,amc concord,True
316,19.1,6,225.0,90,3381,18.7,80,1,dodge aspen,False
317,34.3,4,97.0,78,2188,15.8,80,2,audi 4000,True
318,29.8,4,134.0,90,2711,15.5,80,3,toyota corona liftback,True
319,31.3,4,120.0,75,2542,17.5,80,3,mazda 626,True
320,37.0,4,119.0,92,2434,15.0,80,3,datsun 510 hatchback,True
321,32.2,4,108.0,75,2265,15.2,80,3,toyota corolla,True
322,46.6,4,86.0,65,2110,17.9,80,3,mazda glc,True
323,27.9,4,156.0,105,2800,14.4,80,1,dodge colt,True
324,40.8,4,85.0,65,2110,19.2,80,3,datsun 210,True
325,44.3,4,90.0,48,2085,21.7,80,2,vw rabbit c (diesel),True
326,43.4,4,90.0,48,2335,23.7,80,2,vw dasher (diesel),True
327,36.4,5,121.0,67,2950,19.9,80,2,audi 5000s (diesel),True
328,30.0,4,146.0,67,3250,21.8,80,2,mercedes-benz 240d,True
329,44.6,4,91.0,67,1850,13.8,80,3,honda civic 1500 gl,True
330,40.9,4,85.0,?,1835,17.3,80,2,renault lecar deluxe,True
331,33.8,4,97.0,67,2145,18.0,80,3,subaru dl,True
332,29.8,4,89.0,62,1845,15.3,80,2,vokswagen rabbit,True
333,32.7,6,168.0,132,2910,11.4,80,3,datsun 280-zx,True
334,23.7,3,70.0,100,2420,12.5,80,3,mazda rx-7 gs,True
335,35.0,4,122.0,88,2500,15.1,80,2,triumph tr7 coupe,True
336,23.6,4,140.0,?,2905,14.3,80,1,ford mustang cobra,True
337,32.4,4,107.0,72,2290,17.0,80,3,honda accord,True
338,27.2,4,135.0,84,2490,15.7,81,1,plymouth reliant,True
339,26.6,4,151.0,84,2635,16.4,81,1,buick skylark,True
340,25.8,4,156.0,92,2620,14.4,81,1,dodge aries wagon (sw),True
341,23.5,6,173.0,110,2725,12.6,81,1,chevrolet citation,True
342,30.0,4,135.0,84,2385,12.9,81,1,plymouth reliant,True
343,39.1,4,79.0,58,1755,16.9,81,3,toyota starlet,True
344,39.0,4,86.0,64,1875,16.4,81,1,plymouth champ,True
345,35.1,4,81.0,60,1760,16.1,81,3,honda civic 1300,True
346,32.3,4,97.0,67,2065,17.8,81,3,subaru,True
347,37.0,4,85.0,65,1975,19.4,81,3,datsun 210 mpg,True
348,37.7,4,89.0,62,2050,17.3,81,3,toyota tercel,True
349,34.1,4,91.0,68,1985,16.0,81,3,mazda glc 4,True
350,34.7,4,105.0,63,2215,14.9,81,1,plymouth horizon 4,True
351,34.4,4,98.0,65,2045,16.2,81,1,ford escort 4w,True
352,29.9,4,98.0,65,2380,20.7,81,1,ford escort 2h,True
353,33.0,4,105.0,74,2190,14.2,81,2,volkswagen jetta,True
354,34.5,4,100.0,?,2320,15.8,81,2,renault 18i,True
355,33.7,4,107.0,75,2210,14.4,81,3,honda prelude,True
356,32.4,4,108.0,75,2350,16.8,81,3,toyota corolla,True
357,32.9,4,119.0,100,2615,14.8,81,3,datsun 200sx,True
358,31.6,4,120.0,74,2635,18.3,81,3,mazda 626,True
359,28.1,4,141.0,80,3230,20.4,81,2,peugeot 505s turbo diesel,True
360,30.7,6,145.0,76,3160,19.6,81,2,volvo diesel,True
361,25.4,6,168.0,116,2900,12.6,81,3,toyota cressida,True
362,24.2,6,146.0,120,2930,13.8,81,3,datsun 810 maxima,True
363,22.4,6,231.0,110,3415,15.8,81,1,buick century,False
364,26.6,8,350.0,105,3725,19.0,81,1,oldsmobile cutlass ls,True
365,20.2,6,200.0,88,3060,17.1,81,1,ford granada gl,False
366,17.6,6,225.0,85,3465,16.6,81,1,chrysler lebaron salon,False
367,28.0,4,112.0,88,2605,19.6,82,1,chevrolet cavalier,True
368,27.0,4,112.0,88,2640,18.6,82,1,chevrolet cavalier wagon,True
369,34.0,4,112.0,88,2395,18.0,82,1,chevrolet cavalier 2-door,True
370,31.0,4,112.0,85,2575,16.2,82,1,pontiac j2000 se hatchback,True
371,29.0,4,135.0,84,2525,16.0,82,1,dodge aries se,True
372,27.0,4,151.0,90,2735,18.0,82,1,pontiac phoenix,True
373,24.0,4,140.0,92,2865,16.4,82,1,ford fairmont futura,True
374,36.0,4,105.0,74,1980,15.3,82,2,volkswagen rabbit l,True
375,37.0,4,91.0,68,2025,18.2,82,3,mazda glc custom l,True
376,31.0,4,91.0,68,1970,17.6,82,3,mazda glc custom,True
377,38.0,4,105.0,63,2125,14.7,82,1,plymouth horizon miser,True
378,36.0,4,98.0,70,2125,17.3,82,1,mercury lynx l,True
379,36.0,4,120.0,88,2160,14.5,82,3,nissan stanza xe,True
380,36.0,4,107.0,75,2205,14.5,82,3,honda accord,True
381,34.0,4,108.0,70,2245,16.9,82,3,toyota corolla,True
382,38.0,4,91.0,67,1965,15.0,82,3,honda civic,True
383,32.0,4,91.0,67,1965,15.7,82,3,honda civic (auto),True
384,38.0,4,91.0,67,1995,16.2,82,3,datsun 310 gx,True
385,25.0,6,181.0,110,2945,16.4,82,1,buick century limited,True
386,38.0,6,262.0,85,3015,17.0,82,1,oldsmobile cutlass ciera (diesel),True
387,26.0,4,156.0,92,2585,14.5,82,1,chrysler lebaron medallion,True
388,22.0,6,232.0,112,2835,14.7,82,1,ford granada l,False
389,32.0,4,144.0,96,2665,13.9,82,3,toyota celica gt,True
390,36.0,4,135.0,84,2370,13.0,82,1,dodge charger 2.2,True
391,27.0,4,151.0,90,2950,17.3,82,1,chevrolet camaro,True
392,27.0,4,140.0,86,2790,15.6,82,1,ford mustang gl,True
393,44.0,4,97.0,52,2130,24.6,82,2,vw pickup,True
394,32.0,4,135.0,84,2295,11.6,82,1,dodge rampage,True
395,28.0,4,120.0,79,2625,18.6,82,1,ford ranger,True
396,31.0,4,119.0,82,2720,19.4,82,1,chevy s-10,True
