ID,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,mpg01,Usage
3651_76_dodge aspen se,20.0,6,225.0,100,3651,17.7,76,1,dodge aspen se,False,Public
3574_76_ford granada ghia,18.0,6,250.0,78,3574,21.0,76,1,ford granada ghia,False,Public
3645_76_pontiac ventura sj,18.5,6,250.0,110,3645,16.2,76,1,pontiac ventura sj,False,Public
3193_76_amc pacer d/l,17.5,6,258.0,95,3193,17.8,76,1,amc pacer d/l,False,Public
1825_76_volkswagen rabbit,29.5,4,97.0,71,1825,12.2,76,2,volkswagen rabbit,True,Public
1990_76_datsun b-210,32.0,4,85.0,70,1990,17.0,76,3,datsun b-210,True,Public
2155_76_toyota corolla,28.0,4,97.0,75,2155,16.4,76,3,toyota corolla,True,Public
2565_76_ford pinto,26.5,4,140.0,72,2565,13.6,76,1,ford pinto,True,Public
3150_76_volvo 245,20.0,4,130.0,102,3150,15.7,76,2,volvo 245,False,Public
3940_76_plymouth volare premier v8,13.0,8,318.0,150,3940,13.2,76,1,plymouth volare premier v8,False,Public
3270_76_peugeot 504,19.0,4,120.0,88,3270,21.9,76,2,peugeot 504,False,Public
2930_76_toyota mark ii,19.0,6,156.0,108,2930,15.5,76,3,toyota mark ii,False,Public
3820_76_mercedes-benz 280s,16.5,6,168.0,120,3820,16.7,76,2,mercedes-benz 280s,False,Public
4380_76_cadillac seville,16.5,8,350.0,180,4380,12.1,76,1,cadillac seville,False,Public
4055_76_chevy c10,13.0,8,350.0,145,4055,12.0,76,1,chevy c10,False,Public
3870_76_ford f108,13.0,8,302.0,130,3870,15.0,76,1,ford f108,False,Public
3755_76_dodge d100,13.0,8,318.0,150,3755,14.0,76,1,dodge d100,False,Public
2045_77_honda accord cvcc,31.5,4,98.0,68,2045,18.5,77,3,honda accord cvcc,True,Public
2155_77_buick opel isuzu deluxe,30.0,4,111.0,80,2155,14.8,77,1,buick opel isuzu deluxe,True,Public
1825_77_renault 5 gtl,36.0,4,79.0,58,1825,18.6,77,2,renault 5 gtl,True,Public
2300_77_plymouth arrow gs,25.5,4,122.0,96,2300,15.5,77,1,plymouth arrow gs,True,Public
1945_77_datsun f-10 hatchback,33.5,4,85.0,70,1945,16.8,77,3,datsun f-10 hatchback,True,Public
3880_77_chevrolet caprice classic,17.5,8,305.0,145,3880,12.5,77,1,chevrolet caprice classic,False,Public
4060_77_oldsmobile cutlass supreme,17.0,8,260.0,110,4060,19.0,77,1,oldsmobile cutlass supreme,False,Public
4140_77_dodge monaco brougham,15.5,8,318.0,145,4140,13.7,77,1,dodge monaco brougham,False,Public
4295_77_mercury cougar brougham,15.0,8,302.0,130,4295,14.9,77,1,mercury cougar brougham,False,Public
3520_77_chevrolet concours,17.5,6,250.0,110,3520,16.4,77,1,chevrolet concours,False,Public
3425_77_buick skylark,20.5,6,231.0,105,3425,16.9,77,1,buick skylark,False,Public
3630_77_plymouth volare custom,19.0,6,225.0,100,3630,17.7,77,1,plymouth volare custom,False,Public
3525_77_ford granada,18.5,6,250.0,98,3525,19.0,77,1,ford granada,False,Public
4220_77_pontiac grand prix lj,16.0,8,400.0,180,4220,11.1,77,1,pontiac grand prix lj,False,Public
4165_77_chevrolet monte carlo landau,15.5,8,350.0,170,4165,11.4,77,1,chevrolet monte carlo landau,False,Public
4325_77_chrysler cordoba,15.5,8,400.0,190,4325,12.2,77,1,chrysler cordoba,False,Public
4335_77_ford thunderbird,16.0,8,351.0,149,4335,14.5,77,1,ford thunderbird,False,Public
1940_77_volkswagen rabbit custom,29.0,4,97.0,78,1940,14.5,77,2,volkswagen rabbit custom,True,Public
2740_77_pontiac sunbird coupe,24.5,4,151.0,88,2740,16.0,77,1,pontiac sunbird coupe,True,Public
2265_77_toyota corolla liftback,26.0,4,97.0,75,2265,18.2,77,3,toyota corolla liftback,True,Public
2755_77_ford mustang ii 2+2,25.5,4,140.0,89,2755,15.8,77,1,ford mustang ii 2+2,True,Public
2051_77_chevrolet chevette,30.5,4,98.0,63,2051,17.0,77,1,chevrolet chevette,True,Public
2075_77_dodge colt m/m,33.5,4,98.0,83,2075,15.9,77,1,dodge colt m/m,True,Public
1985_77_subaru dl,30.0,4,97.0,67,1985,16.4,77,3,subaru dl,True,Public
2190_77_volkswagen dasher,30.5,4,97.0,78,2190,14.1,77,2,volkswagen dasher,True,Public
2815_77_datsun 810,22.0,6,146.0,97,2815,14.5,77,3,datsun 810,False,Public
2600_77_bmw 320i,21.5,4,121.0,110,2600,12.8,77,2,bmw 320i,False,Public
2720_77_mazda rx-4,21.5,3,80.0,110,2720,13.5,77,3,mazda rx-4,False,Public
1985_78_volkswagen rabbit custom diesel,43.1,4,90.0,48,1985,21.5,78,2,volkswagen rabbit custom diesel,True,Public
1800_78_ford fiesta,36.1,4,98.0,66,1800,14.4,78,1,ford fiesta,True,Public
1985_78_mazda glc deluxe,32.8,4,78.0,52,1985,19.4,78,3,mazda glc deluxe,True,Public
2070_78_datsun b210 gx,39.4,4,85.0,70,2070,18.6,78,3,datsun b210 gx,True,Public
1800_78_honda civic cvcc,36.1,4,91.0,60,1800,16.4,78,3,honda civic cvcc,True,Public
3365_78_oldsmobile cutlass salon brougham,19.9,8,260.0,110,3365,15.5,78,1,oldsmobile cutlass salon brougham,False,Public
3735_78_dodge diplomat,19.4,8,318.0,140,3735,13.2,78,1,dodge diplomat,False,Public
3570_78_mercury monarch ghia,20.2,8,302.0,139,3570,12.8,78,1,mercury monarch ghia,False,Public
3535_78_pontiac phoenix lj,19.2,6,231.0,105,3535,19.2,78,1,pontiac phoenix lj,False,Public
3155_78_chevrolet malibu,20.5,6,200.0,95,3155,18.2,78,1,chevrolet malibu,False,Public
2965_78_ford fairmont (auto),20.2,6,200.0,85,2965,15.8,78,1,ford fairmont (auto),False,Public
2720_78_ford fairmont (man),25.1,4,140.0,88,2720,15.4,78,1,ford fairmont (man),True,Public
3430_78_plymouth volare,20.5,6,225.0,100,3430,17.2,78,1,plymouth volare,False,Public
3210_78_amc concord,19.4,6,232.0,90,3210,17.2,78,1,amc concord,False,Public
3380_78_buick century special,20.6,6,231.0,105,3380,15.8,78,1,buick century special,False,Public
3070_78_mercury zephyr,20.8,6,200.0,85,3070,16.7,78,1,mercury zephyr,False,Public
3620_78_dodge aspen,18.6,6,225.0,110,3620,18.7,78,1,dodge aspen,False,Public
3410_78_amc concord d/l,18.1,6,258.0,120,3410,15.1,78,1,amc concord d/l,False,Public
3425_78_chevrolet monte carlo landau,19.2,8,305.0,145,3425,13.2,78,1,chevrolet monte carlo landau,False,Public
3445_78_buick regal sport coupe (turbo),17.7,6,231.0,165,3445,13.4,78,1,buick regal sport coupe (turbo),False,Public
3205_78_ford futura,18.1,8,302.0,139,3205,11.2,78,1,ford futura,False,Public
4080_78_dodge magnum xe,17.5,8,318.0,140,4080,13.7,78,1,dodge magnum xe,False,Public
2155_78_chevrolet chevette,30.0,4,98.0,68,2155,16.5,78,1,chevrolet chevette,True,Public
2560_78_toyota corona,27.5,4,134.0,95,2560,14.2,78,3,toyota corona,True,Public
2300_78_datsun 510,27.2,4,119.0,97,2300,14.7,78,3,datsun 510,True,Public
2230_78_dodge omni,30.9,4,105.0,75,2230,14.5,78,1,dodge omni,True,Public
2515_78_toyota celica gt liftback,21.1,4,134.0,95,2515,14.8,78,3,toyota celica gt liftback,False,Public
2745_78_plymouth sapporo,23.2,4,156.0,105,2745,16.7,78,1,plymouth sapporo,True,Public
2855_78_oldsmobile starfire sx,23.8,4,151.0,85,2855,17.6,78,1,oldsmobile starfire sx,True,Public
2405_78_datsun 200-sx,23.9,4,119.0,97,2405,14.9,78,3,datsun 200-sx,True,Public
2830_78_audi 5000,20.3,5,131.0,103,2830,15.9,78,2,audi 5000,False,Public
3140_78_volvo 264gl,17.0,6,163.0,125,3140,13.6,78,2,volvo 264gl,False,Public
2795_78_saab 99gle,21.6,4,121.0,115,2795,15.7,78,2,saab 99gle,False,Public
3410_78_peugeot 604sl,16.2,6,163.0,133,3410,15.8,78,2,peugeot 604sl,False,Public
1990_78_volkswagen scirocco,31.5,4,89.0,71,1990,14.9,78,2,volkswagen scirocco,True,Public
2135_78_honda accord lx,29.5,4,98.0,68,2135,16.6,78,3,honda accord lx,True,Public
3245_79_pontiac lemans v6,21.5,6,231.0,115,3245,15.4,79,1,pontiac lemans v6,False,Public
2990_79_mercury zephyr 6,19.8,6,200.0,85,2990,18.2,79,1,mercury zephyr 6,False,Public
2890_79_ford fairmont 4,22.3,4,140.0,88,2890,17.3,79,1,ford fairmont 4,False,Public
3265_79_amc concord dl 6,20.2,6,232.0,90,3265,18.2,79,1,amc concord dl 6,False,Public
3360_79_dodge aspen 6,20.6,6,225.0,110,3360,16.6,79,1,dodge aspen 6,False,Public
3840_79_chevrolet caprice classic,17.0,8,305.0,130,3840,15.4,79,1,chevrolet caprice classic,False,Public
3725_79_ford ltd landau,17.6,8,302.0,129,3725,13.4,79,1,ford ltd landau,False,Public
3955_79_mercury grand marquis,16.5,8,351.0,138,3955,13.2,79,1,mercury grand marquis,False,Public
3830_79_dodge st. regis,18.2,8,318.0,135,3830,15.2,79,1,dodge st. regis,False,Public
4360_79_buick estate wagon (sw),16.9,8,350.0,155,4360,14.9,79,1,buick estate wagon (sw),False,Public
4054_79_ford country squire (sw),15.5,8,351.0,142,4054,14.3,79,1,ford country squire (sw),False,Public
3605_79_chevrolet malibu classic (sw),19.2,8,267.0,125,3605,15.0,79,1,chevrolet malibu classic (sw),False,Public
3940_79_chrysler lebaron town @ country (sw),18.5,8,360.0,150,3940,13.0,79,1,chrysler lebaron town @ country (sw),False,Public
1925_79_vw rabbit custom,31.9,4,89.0,71,1925,14.0,79,2,vw rabbit custom,True,Public
1975_79_maxda glc deluxe,34.1,4,86.0,65,1975,15.2,79,3,maxda glc deluxe,True,Public
1915_79_dodge colt hatchback custom,35.7,4,98.0,80,1915,14.4,79,1,dodge colt hatchback custom,True,Public
2670_79_amc spirit dl,27.4,4,121.0,80,2670,15.0,79,1,amc spirit dl,True,Public
3530_79_mercedes benz 300d,25.4,5,183.0,77,3530,20.1,79,2,mercedes benz 300d,True,Public
3900_79_cadillac eldorado,23.0,8,350.0,125,3900,17.4,79,1,cadillac eldorado,False,Public
3190_79_peugeot 504,27.2,4,141.0,71,3190,24.8,79,2,peugeot 504,True,Public
3420_79_oldsmobile cutlass salon brougham,23.9,8,260.0,90,3420,22.2,79,1,oldsmobile cutlass salon brougham,True,Public
2200_79_plymouth horizon,34.2,4,105.0,70,2200,13.2,79,1,plymouth horizon,True,Public
2150_79_plymouth horizon tc3,34.5,4,105.0,70,2150,14.9,79,1,plymouth horizon tc3,True,Public
2020_79_datsun 210,31.8,4,85.0,65,2020,19.2,79,3,datsun 210,True,Public
2130_79_fiat strada custom,37.3,4,91.0,69,2130,14.7,79,2,fiat strada custom,True,Public
2670_79_buick skylark limited,28.4,4,151.0,90,2670,16.0,79,1,buick skylark limited,True,Public
2595_79_chevrolet citation,28.8,6,173.0,115,2595,11.3,79,1,chevrolet citation,True,Public
2700_79_oldsmobile omega brougham,26.8,6,173.0,115,2700,12.9,79,1,oldsmobile omega brougham,True,Public
2556_79_pontiac phoenix,33.5,4,151.0,90,2556,13.2,79,1,pontiac phoenix,True,Public
2144_80_vw rabbit,41.5,4,98.0,76,2144,14.7,80,2,vw rabbit,True,Public
1968_80_toyota corolla tercel,38.1,4,89.0,60,1968,18.8,80,3,toyota corolla tercel,True,Public
2120_80_chevrolet chevette,32.1,4,98.0,70,2120,15.5,80,1,chevrolet chevette,True,Public
2019_80_datsun 310,37.2,4,86.0,65,2019,16.4,80,3,datsun 310,True,Public
2678_80_chevrolet citation,28.0,4,151.0,90,2678,16.5,80,1,chevrolet citation,True,Public
2870_80_ford fairmont,26.4,4,140.0,88,2870,18.1,80,1,ford fairmont,True,Public
3003_80_amc concord,24.3,4,151.0,90,3003,20.1,80,1,amc concord,True,Public
3381_80_dodge aspen,19.1,6,225.0,90,3381,18.7,80,1,dodge aspen,False,Public
2188_80_audi 4000,34.3,4,97.0,78,2188,15.8,80,2,audi 4000,True,Public
2711_80_toyota corona liftback,29.8,4,134.0,90,2711,15.5,80,3,toyota corona liftback,True,Public
2542_80_mazda 626,31.3,4,120.0,75,2542,17.5,80,3,mazda 626,True,Public
2434_80_datsun 510 hatchback,37.0,4,119.0,92,2434,15.0,80,3,datsun 510 hatchback,True,Public
2265_80_toyota corolla,32.2,4,108.0,75,2265,15.2,80,3,toyota corolla,True,Public
2110_80_mazda glc,46.6,4,86.0,65,2110,17.9,80,3,mazda glc,True,Public
2800_80_dodge colt,27.9,4,156.0,105,2800,14.4,80,1,dodge colt,True,Public
2110_80_datsun 210,40.8,4,85.0,65,2110,19.2,80,3,datsun 210,True,Public
2085_80_vw rabbit c (diesel),44.3,4,90.0,48,2085,21.7,80,2,vw rabbit c (diesel),True,Public
2335_80_vw dasher (diesel),43.4,4,90.0,48,2335,23.7,80,2,vw dasher (diesel),True,Public
2950_80_audi 5000s (diesel),36.4,5,121.0,67,2950,19.9,80,2,audi 5000s (diesel),True,Public
3250_80_mercedes-benz 240d,30.0,4,146.0,67,3250,21.8,80,2,mercedes-benz 240d,True,Public
1850_80_honda civic 1500 gl,44.6,4,91.0,67,1850,13.8,80,3,honda civic 1500 gl,True,Public
1835_80_renault lecar deluxe,40.9,4,85.0,?,1835,17.3,80,2,renault lecar deluxe,True,Public
2145_80_subaru dl,33.8,4,97.0,67,2145,18.0,80,3,subaru dl,True,Public
1845_80_vokswagen rabbit,29.8,4,89.0,62,1845,15.3,80,2,vokswagen rabbit,True,Public
2910_80_datsun 280-zx,32.7,6,168.0,132,2910,11.4,80,3,datsun 280-zx,True,Public
2420_80_mazda rx-7 gs,23.7,3,70.0,100,2420,12.5,80,3,mazda rx-7 gs,True,Public
2500_80_triumph tr7 coupe,35.0,4,122.0,88,2500,15.1,80,2,triumph tr7 coupe,True,Public
2905_80_ford mustang cobra,23.6,4,140.0,?,2905,14.3,80,1,ford mustang cobra,True,Public
2290_80_honda accord,32.4,4,107.0,72,2290,17.0,80,3,honda accord,True,Public
2490_81_plymouth reliant,27.2,4,135.0,84,2490,15.7,81,1,plymouth reliant,True,Public
2635_81_buick skylark,26.6,4,151.0,84,2635,16.4,81,1,buick skylark,True,Public
2620_81_dodge aries wagon (sw),25.8,4,156.0,92,2620,14.4,81,1,dodge aries wagon (sw),True,Public
2725_81_chevrolet citation,23.5,6,173.0,110,2725,12.6,81,1,chevrolet citation,True,Public
2385_81_plymouth reliant,30.0,4,135.0,84,2385,12.9,81,1,plymouth reliant,True,Public
1755_81_toyota starlet,39.1,4,79.0,58,1755,16.9,81,3,toyota starlet,True,Public
1875_81_plymouth champ,39.0,4,86.0,64,1875,16.4,81,1,plymouth champ,True,Public
1760_81_honda civic 1300,35.1,4,81.0,60,1760,16.1,81,3,honda civic 1300,True,Public
2065_81_subaru,32.3,4,97.0,67,2065,17.8,81,3,subaru,True,Public
1975_81_datsun 210 mpg,37.0,4,85.0,65,1975,19.4,81,3,datsun 210 mpg,True,Public
2050_81_toyota tercel,37.7,4,89.0,62,2050,17.3,81,3,toyota tercel,True,Public
1985_81_mazda glc 4,34.1,4,91.0,68,1985,16.0,81,3,mazda glc 4,True,Public
2215_81_plymouth horizon 4,34.7,4,105.0,63,2215,14.9,81,1,plymouth horizon 4,True,Public
2045_81_ford escort 4w,34.4,4,98.0,65,2045,16.2,81,1,ford escort 4w,True,Public
2380_81_ford escort 2h,29.9,4,98.0,65,2380,20.7,81,1,ford escort 2h,True,Public
2190_81_volkswagen jetta,33.0,4,105.0,74,2190,14.2,81,2,volkswagen jetta,True,Public
2320_81_renault 18i,34.5,4,100.0,?,2320,15.8,81,2,renault 18i,True,Public
2210_81_honda prelude,33.7,4,107.0,75,2210,14.4,81,3,honda prelude,True,Public
2350_81_toyota corolla,32.4,4,108.0,75,2350,16.8,81,3,toyota corolla,True,Public
2615_81_datsun 200sx,32.9,4,119.0,100,2615,14.8,81,3,datsun 200sx,True,Public
2635_81_mazda 626,31.6,4,120.0,74,2635,18.3,81,3,mazda 626,True,Public
3230_81_peugeot 505s turbo diesel,28.1,4,141.0,80,3230,20.4,81,2,peugeot 505s turbo diesel,True,Public
3160_81_volvo diesel,30.7,6,145.0,76,3160,19.6,81,2,volvo diesel,True,Public
2900_81_toyota cressida,25.4,6,168.0,116,2900,12.6,81,3,toyota cressida,True,Public
2930_81_datsun 810 maxima,24.2,6,146.0,120,2930,13.8,81,3,datsun 810 maxima,True,Public
3415_81_buick century,22.4,6,231.0,110,3415,15.8,81,1,buick century,False,Public
3725_81_oldsmobile cutlass ls,26.6,8,350.0,105,3725,19.0,81,1,oldsmobile cutlass ls,True,Public
3060_81_ford granada gl,20.2,6,200.0,88,3060,17.1,81,1,ford granada gl,False,Public
3465_81_chrysler lebaron salon,17.6,6,225.0,85,3465,16.6,81,1,chrysler lebaron salon,False,Public
2605_82_chevrolet cavalier,28.0,4,112.0,88,2605,19.6,82,1,chevrolet cavalier,True,Public
2640_82_chevrolet cavalier wagon,27.0,4,112.0,88,2640,18.6,82,1,chevrolet cavalier wagon,True,Public
2395_82_chevrolet cavalier 2-door,34.0,4,112.0,88,2395,18.0,82,1,chevrolet cavalier 2-door,True,Public
2575_82_pontiac j2000 se hatchback,31.0,4,112.0,85,2575,16.2,82,1,pontiac j2000 se hatchback,True,Public
2525_82_dodge aries se,29.0,4,135.0,84,2525,16.0,82,1,dodge aries se,True,Public
2735_82_pontiac phoenix,27.0,4,151.0,90,2735,18.0,82,1,pontiac phoenix,True,Public
2865_82_ford fairmont futura,24.0,4,140.0,92,2865,16.4,82,1,ford fairmont futura,True,Public
1980_82_volkswagen rabbit l,36.0,4,105.0,74,1980,15.3,82,2,volkswagen rabbit l,True,Public
2025_82_mazda glc custom l,37.0,4,91.0,68,2025,18.2,82,3,mazda glc custom l,True,Public
1970_82_mazda glc custom,31.0,4,91.0,68,1970,17.6,82,3,mazda glc custom,True,Public
2125_82_plymouth horizon miser,38.0,4,105.0,63,2125,14.7,82,1,plymouth horizon miser,True,Public
2125_82_mercury lynx l,36.0,4,98.0,70,2125,17.3,82,1,mercury lynx l,True,Public
2160_82_nissan stanza xe,36.0,4,120.0,88,2160,14.5,82,3,nissan stanza xe,True,Public
2205_82_honda accord,36.0,4,107.0,75,2205,14.5,82,3,honda accord,True,Public
2245_82_toyota corolla,34.0,4,108.0,70,2245,16.9,82,3,toyota corolla,True,Public
1965_82_honda civic,38.0,4,91.0,67,1965,15.0,82,3,honda civic,True,Public
1965_82_honda civic (auto),32.0,4,91.0,67,1965,15.7,82,3,honda civic (auto),True,Public
1995_82_datsun 310 gx,38.0,4,91.0,67,1995,16.2,82,3,datsun 310 gx,True,Public
2945_82_buick century limited,25.0,6,181.0,110,2945,16.4,82,1,buick century limited,True,Public
3015_82_oldsmobile cutlass ciera (diesel),38.0,6,262.0,85,3015,17.0,82,1,oldsmobile cutlass ciera (diesel),True,Public
2585_82_chrysler lebaron medallion,26.0,4,156.0,92,2585,14.5,82,1,chrysler lebaron medallion,True,Public
2835_82_ford granada l,22.0,6,232.0,112,2835,14.7,82,1,ford granada l,False,Public
2665_82_toyota celica gt,32.0,4,144.0,96,2665,13.9,82,3,toyota celica gt,True,Public
2370_82_dodge charger 2.2,36.0,4,135.0,84,2370,13.0,82,1,dodge charger 2.2,True,Public
2950_82_chevrolet camaro,27.0,4,151.0,90,2950,17.3,82,1,chevrolet camaro,True,Public
2790_82_ford mustang gl,27.0,4,140.0,86,2790,15.6,82,1,ford mustang gl,True,Public
2130_82_vw pickup,44.0,4,97.0,52,2130,24.6,82,2,vw pickup,True,Public
2295_82_dodge rampage,32.0,4,135.0,84,2295,11.6,82,1,dodge rampage,True,Public
2625_82_ford ranger,28.0,4,120.0,79,2625,18.6,82,1,ford ranger,True,Public
2720_82_chevy s-10,31.0,4,119.0,82,2720,19.4,82,1,chevy s-10,True,Public
